Time,Signal,Drowsiness
20:23:39,40,0
20:23:41,40,0
20:23:42,40,0
20:23:43,40,0
20:23:44,40,0
20:23:46,40,0
20:23:47,40,0
20:23:48,40,0
20:23:49,40,0
20:23:51,40,0
20:23:52,40,0
20:23:53,40,0
20:23:54,40,0
20:23:56,40,0
20:23:57,40,0
20:23:58,40,0
20:23:59,40,0
20:24:01,40,0
20:24:02,40,0
20:24:03,40,0
20:24:04,40,0
20:24:06,40,0
20:24:07,40,0
20:24:08,40,0
20:24:10,40,0
20:24:11,40,0
20:24:12,40,0
20:24:13,40,0
20:24:15,40,0
20:24:16,40,0
20:24:17,40,0
20:24:18,40,0
20:24:20,40,0
20:24:21,40,0
20:24:22,40,0
20:24:23,40,0
20:24:25,40,0
20:24:26,40,0
20:24:27,40,0
20:24:29,40,0
20:24:30,40,0
20:24:31,40,0
20:24:32,40,0
20:24:34,40,0
20:24:35,40,0
20:24:36,40,0
20:24:37,40,0
20:24:39,40,0
20:24:40,40,0
20:24:41,40,0
20:24:42,40,0
20:24:44,40,0
20:24:45,40,0
20:24:46,40,0
20:24:48,40,0
20:24:49,40,0
20:24:50,40,0
20:24:51,40,0
20:24:53,40,0
20:24:54,40,0
20:24:55,40,0
20:24:56,40,0
20:24:58,40,0
20:24:59,40,0
20:25:00,40,0
20:25:01,40,0
20:25:03,40,0
20:25:04,40,0
20:25:05,40,0
20:25:07,40,0
20:25:08,40,0
20:25:09,40,0
20:25:10,40,0
20:25:12,40,0
20:25:13,40,0
20:25:14,40,0
20:25:15,40,0
20:25:17,40,0
20:25:18,40,0
20:25:19,40,0
20:25:20,40,0
20:25:22,40,0
20:25:23,40,0
20:25:24,40,0
20:25:25,40,0
20:25:27,40,0
20:25:28,40,0
20:25:29,40,0
20:25:30,40,0
20:25:32,40,0
20:25:33,40,0
20:25:34,40,0
20:25:35,40,0
20:25:37,40,0
20:25:38,40,0
20:25:39,40,0
20:25:40,40,0
20:25:42,40,0
20:25:43,40,0
20:25:44,40,0
20:25:46,40,0
20:25:47,40,0
20:25:48,40,0
20:25:49,40,0
20:25:51,40,0
20:25:52,40,0
